"cod_comercial"|"nom_comercial"|"val_preco_sugerido"
"100697-0"|"TOUCINHO SUINO CONG GRAN CORTE"|10.9
"2510"|"FRANGO SEM MIUDOS CONG 1 8 LANGUIRU"|8.6
"2511"|"FRANGO SEM MIUDOS CONG 1 9 LANGUIRU"|8.6
"11062"|"PICANHA A RESF IGUATEMI"|42
"27"|"COXINHA DA ASA BANDEJA 1KG LEVIDA"|10.9
"2332"|"CONTRA FILE PORCIONADO RESF MATABOI"|29.99
"2600"|"PICANHA RESF MATABOI"|47.9
"655217"|"COSTELA INT  C/O S/P SUINO CG VALE SUL"|16.9
"130"|"COSTELA SUINA C/OSSO CONG  COOPAVEL"|17.5
"00040200"|"MOELA CONG CX PP 18KG MISTER CANCAO"|6.9
"5066"|"LINGUICA TOSCANA NANICA FRICASA"|14.5
"98"|"FILEZINHO FRANGO EMPANADO PCT 1KG BAITA FENIX"|15
"505"|"COXAO DURO"|27.8
"520"|"COSTELA TRAS  C/OSSO  RIPA"|19.7
"071707"|"COXINHA DA ASA ENV GONG 20KG LAR"|9.9
"10364"|"COXINHAS DAS ASAS CX PP 18 KG CANCAO"|10.5
"5023"|"PERNIL TEMP  S/OSSO FRICASA"|14.9
"100"|"PEDACO FRANGO EMPANADO PCT 2,5KG FENIX"|11.5
"1151"|"PALETA S/MUSCULO RESF FRIBEV"|21.5
"437"|"CORACAO CG PCT 700G RIVELLI"|21.9
"538"|"RECORTE DE ALCATRA ARANHA"|26.5
"620702-0"|"CARNE MOIDA CONG 1KG TUDBOM"|17.5
"03769"|"PALETA SUINA S/O CONG DALIA"|13.9
"630702-0"|"CARNE MOIDA PATINHO CONG 1KG PLENA"|19.9
"10"|"LINGUICA TOSCANA SUINA CONG FRIMAR"|11.99
"171"|"QUEIJO MUSSARELA CX LATVIDA"|24.9
"3614"|"FRALDINHA RESF MATABOI"|26.9
"1050"|"CONTRA FILE RESF FRIBEV"|31.9
"103235"|"FILE MIGNON 4/5 S/C RESF FRIBEV"|48.5
"553"|"CONTRA FILE   ESPECIAL"|33.99
"103222"|"PICANHA SUINA TEMP  CONG SULITA"|21.5
"102377"|"QUEIJO MUSSARELA DO VALLE"|23.99
"3561"|"COXINHAS DAS ASAS CX PP 18 KG CANCAO"|10.5
"3534"|"COXINHA DA ASA BANDEJA 1KG LEVIDA"|10.9
"11057"|"SOBRECOXA ENV 20 KGS LAR"|6.8
"11234"|"COXA SBCX S/ OSSO CG 20KG RIVELLI"|8.9
"11384"|"COSTELA SUINA C/OSSO CONG  COOPAVEL"|17.5
"102853"|"FRANGO SEM MIUDOS CONG 1 8 LANGUIRU"|8.7
"102597"|"COSTELA INT  C/O S/P SUINO CG VALE SUL"|16.9
"12327"|"MEIO DA ASA CONG L/P 18KG DIP FRANGOS"|16.9
"11993"|"QUEIJO MUSSARELA ALTO ALEGRE"|26.5
"11541"|"BARRIGA SUINA C/PELE S/OSSO CONG  LANGUIRU"|17.5
"11329"|"TIRINHAS DE FRANGO 4XSC2,5KG C VALE"|10.9
"12301"|"CARNE MOIDA CONG 1KG TUDBOM"|17.5
"103013"|"COSTELA SUINA RIPA CONG REZENDE"|15.5
"102593"|"TOUCINHO SUINO CONG GRAN CORTE"|10.9
"103247"|"CORACAO CG PCT 700G RIVELLI"|21.8
"102963"|"BACON PALETA DEFUMADA RESF  FRICASA"|21.5
"3121"|"CARRE CONG  SUINO   FP DALIA"|12.5
"103270"|"COXA E SOBRECOXA C/O INTERF CONG COOPAVEL"|6.75
"103156"|"MEIO DA ASA CONG IQF 1KG FRIATO"|17.5
"12294"|"SALSICHA CONG HOT DOG 5KG COOPAVEL"|5.99
"11383"|"BARRIGA SUINA C/PELE S/OSSO CONG  COOPAVEL"|17.9
"103"|"FIGADO CONGELADO DE BOVINO"|8.7
"517"|"BIFE DO VAZIO"|17
"11426"|"LINGUICA TOSCANA NANICA FRICASA"|14.5
"103207"|"COSTELA DO TRASEIRO MINGA CONG MONTANA STEAKHOUSE MARFRIG"|18.5
"103018"|"FRALDINHA RESF MATABOI"|26.9
"102888"|"PICANHA RESF MATABOI"|47.5
"554"|"CUPIM"|23.95
"102779"|"SOBRECOXA CG ENVELOPADO 19,5KG FRIATO"|6.8
"102496"|"SOBREPALETA SUINA CONG C/OSSO FRIELLA"|12.99
"11630"|"LINGUICA DE FRANGO CONG  PCT COPACOL"|8.9
"102360"|"QUEIJO MUSSARELA CX LATVIDA"|24.9
"102982"|"LINGUICA TOSCANA SUINA CONG FRIMAR"|11.99
"102750"|"CUPIM GRILL CONG BXB FOODS"|29.99
"103126"|"PALETA SUINA S/O CONG DALIA"|13.9
"103151"|"CORACAO DA ALCATRA RESF IGUATEMI"|31.5
"11215"|"COXAS E SOBRECOXAS S/O PCT AGRODANIELI"|8.8
"107"|"RABO"|18.9
"507"|"LAGARTO"|26.5
"12186"|"FILE DE PEITO CG  ENVEL  19,5 KG FRIATO"|9.8
"103251"|"PALETA S/MUSCULO RESF FRIBEV"|21
"103236"|"COSTELA DO TRASEIRO MINGA CONG FRIBEV"|17.9
"103256"|"ALCATRA COMPLETA GRILL RESF IGUATEMI"|35.9
"592"|"PALETA S/MUSCULO CARNE RESFR  BOV S/OSSO"|26.8
"103146"|"COSTELA DO DIANTEIRO C/O GOURMET CONG BEST BEEF"|32.5
"102584"|"BARRIGA SUINA S/O C/PELE UNIBON"|18.99
"102431"|"COXINHA DA ASA ENV GONG 20KG LAR"|10.5
"103174"|"PICANHA A ATE 1,400KG IGUATEMI"|42
"103182"|"RECORTE DIAFRAGMA LOMBINHO CONG MONTANA MARFRIG"|20.8
"103155"|"CONTRA FILE C/O S/N PARA BISTECA ASTRA"|26.8
"105"|"MOCOTO DE BOI"|9.8
"102987"|"LINGUICA DE COSTELA ANGUS CONG 400G CARAPRETA"|28.5
"12175"|"FILEZINHO DE FRANGO BAITA FENIX"|15
"11338"|"PERNIL TEMP  S/OSSO FRICASA"|14.9
"102433"|"FILEZINHO SASSAMI CONG  ENV 18KG C VALE"|8.8
"3572"|"FILE DE PEITO INT CG CX 18 KG C VALE"|9.6
"102722"|"POSTA DE TILAPIA CONG 16X800G C VALE"|16.2
"103241"|"BACON EXTRA LOMBO FATIADO DALIA"|26
"11279"|"MANTEIGA EXTRA COM SAL 200GRS SAO LEOPOLDO"|19
"102806"|"CONTRA FILE PORCIONADO RESF MATABOI"|30.5
"11524"|"PEITO CONGELADO"|7.1
"103266"|"CUPIM GRILL CONG BIG BOI"|29.99
"11147"|"COSTELA S/O C/PELE TEMP CONG  DALIA"|21.9
"530"|"COXAO MOLE"|28.2
"928"|"COSTELA DESOSSADA MINGA"|19.3
"103237"|"BIFE DO VAZIO CONG FRIBEV"|27.9
"509"|"MAMINHA DA ALCATRA"|34.7
"502"|"PEITO DE BOVINO"|23.8
